<@!533336767231950848>,Ouassim,31,7
<@!201373829380046849>,Rayane Yadel,24,5
<@!600999544569856014>,Aymen,24,4
<@577182678818881556>,FLICK,10,3
<@!720288252543893616>,unknownad_,20,4
<@!881990454156075019>,wahid_slimani,3,1
<@!892388031879860224>,barkat zine eddine,21,4
<@!436212471620042752>,samdem,24,5
<@!715208079582429205>,IGRIS,13,2
<@!423935268626628608>,sami,8,2
